file_name,read_group_id,library_selection,library_strand
35bee4ea-b6d1-456a-94d2-fbb8ee322078.rna_seq.genomic.gdc_realn.bam,fd724757-7108-4c06-9aad-4676e8cd7155,Poly-T Enrichment,
344bf22c-3371-450e-80bf-868b71951105.rna_seq.genomic.gdc_realn.bam,1c4569c3-32d2-4723-98ea-b1dc8502f6b7,Other,N/A
344bf22c-3371-450e-80bf-868b71951105.rna_seq.genomic.gdc_realn.bam,3779952b-c260-48c4-a54c-ce04a8378722,Poly-T Enrichment,
b7aa4c05-568f-4747-9ea3-c9fa4cdbeea9.rna_seq.genomic.gdc_realn.bam,ee6b621d-d920-479f-9bdc-4bbf727ffd3e,Poly-T Enrichment,
b7aa4c05-568f-4747-9ea3-c9fa4cdbeea9.rna_seq.genomic.gdc_realn.bam,2718a709-7434-42e6-bebf-4a59af90c5e0,Other,N/A
b74e798d-b02a-44e3-a562-965a01ce2034.rna_seq.genomic.gdc_realn.bam,b1a018c3-37cd-4171-b1b4-d03b7bb2a51f,Poly-T Enrichment,
b74e798d-b02a-44e3-a562-965a01ce2034.rna_seq.genomic.gdc_realn.bam,a49c4cb7-bc20-44d2-a9da-39d45c90f0a2,Other,N/A
721d4acc-6344-4956-b181-f2352bee2e0e.rna_seq.genomic.gdc_realn.bam,d72430b1-9b92-43bd-8af1-5278c15310e0,Poly-T Enrichment,
721d4acc-6344-4956-b181-f2352bee2e0e.rna_seq.genomic.gdc_realn.bam,e0495aeb-37c0-4bc0-af78-5881bb171de7,Other,N/A
653be795-af40-43b5-874f-c57f472381cc.rna_seq.genomic.gdc_realn.bam,12fbf0af-e6c0-410d-a027-7da44c95e9be,Poly-T Enrichment,
653be795-af40-43b5-874f-c57f472381cc.rna_seq.genomic.gdc_realn.bam,5bd7a312-8b2e-43fc-81c3-df9c3b68aa59,Other,N/A
1810c35f-a1be-42da-8cc3-17624d32e9f6.rna_seq.genomic.gdc_realn.bam,6daab683-5a04-473f-b43b-19aef2f10741,Poly-T Enrichment,
1810c35f-a1be-42da-8cc3-17624d32e9f6.rna_seq.genomic.gdc_realn.bam,a6d16e52-d522-4b71-9806-fd7de58e4007,Other,N/A
1baf79ea-443d-453a-b7df-c3d520466e26.rna_seq.genomic.gdc_realn.bam,565750a1-50c8-4a87-87c6-ee6006517a6c,Poly-T Enrichment,
1baf79ea-443d-453a-b7df-c3d520466e26.rna_seq.genomic.gdc_realn.bam,cf001b0a-eee6-45a0-a867-ed4d64d16a6f,Other,N/A
4dbfcf44-81c5-4619-8318-8793d99fe4aa.rna_seq.genomic.gdc_realn.bam,84df4c59-7069-4e2a-90d2-0709abf52583,Poly-T Enrichment,
4dbfcf44-81c5-4619-8318-8793d99fe4aa.rna_seq.genomic.gdc_realn.bam,20ba1f40-f65f-4e66-b380-e967a745f119,Other,N/A
9fed57f8-34f6-4726-8e69-8e48194663ad.rna_seq.genomic.gdc_realn.bam,10f04c21-1aa4-40a0-80f1-680799e0ae0c,Poly-T Enrichment,
9fed57f8-34f6-4726-8e69-8e48194663ad.rna_seq.genomic.gdc_realn.bam,67037115-9a8b-4393-a085-8fbd9d983479,Other,N/A
211c2d4f-cc22-4617-a1f8-0bf9338db990.rna_seq.genomic.gdc_realn.bam,60369a47-abab-4368-a0d1-4aad62c33381,Poly-T Enrichment,
211c2d4f-cc22-4617-a1f8-0bf9338db990.rna_seq.genomic.gdc_realn.bam,26d9fde6-aed2-4fad-90ae-9a859cff3300,Other,N/A
15d11cb0-928f-4ef5-b3c3-ab9e8991753d.rna_seq.genomic.gdc_realn.bam,cd60dd96-2bf2-46c1-85d7-f984493aebab,Poly-T Enrichment,
15d11cb0-928f-4ef5-b3c3-ab9e8991753d.rna_seq.genomic.gdc_realn.bam,dc883f6d-ef24-48ee-8b53-a4c474c2a760,Other,N/A
c2fa8317-cb42-4adb-a597-ee5176510b9d.rna_seq.genomic.gdc_realn.bam,88ba8172-1f2c-4530-806b-6f99baba8711,Poly-T Enrichment,
c2fa8317-cb42-4adb-a597-ee5176510b9d.rna_seq.genomic.gdc_realn.bam,8cb4f915-0fc2-42e4-8628-2a092f147b36,Other,N/A
d7b22af2-b49b-4ea3-9a6b-76974ed8482d.rna_seq.genomic.gdc_realn.bam,4160845d-30d6-4f5b-ba9b-6ab7dd373fad,Poly-T Enrichment,
d7b22af2-b49b-4ea3-9a6b-76974ed8482d.rna_seq.genomic.gdc_realn.bam,4b4c1d63-4128-415a-b435-f361574c71f0,Other,N/A
15216993-c048-4234-8981-02ebef70c40d.rna_seq.genomic.gdc_realn.bam,2978a758-bccd-4ee0-ae3b-15db6a75cc42,Poly-T Enrichment,
15216993-c048-4234-8981-02ebef70c40d.rna_seq.genomic.gdc_realn.bam,ae902949-eba3-4441-a149-d981aaa95bf2,Other,N/A
86272ea4-c83a-4023-8331-3d7ba02e13cc.rna_seq.genomic.gdc_realn.bam,fc0bfe54-3ecf-4204-af23-e16e64040ff1,Other,N/A
86272ea4-c83a-4023-8331-3d7ba02e13cc.rna_seq.genomic.gdc_realn.bam,e3b14b02-22c6-4086-8cdc-2252294e4531,Poly-T Enrichment,
e4ab0d64-9d7d-4a3c-b904-227ea0487f57.rna_seq.genomic.gdc_realn.bam,0a2e28c3-6abe-4da5-89f9-e3efadf9c556,Poly-T Enrichment,
b6c628ea-959c-4439-9222-6af56666dd67.rna_seq.genomic.gdc_realn.bam,d4b4dbeb-aeec-4556-b9c9-05ba06f53253,Poly-T Enrichment,
b6c628ea-959c-4439-9222-6af56666dd67.rna_seq.genomic.gdc_realn.bam,a55f3722-c1c2-4fd6-bef1-6d4ea166216b,Other,N/A
0569acd2-7934-47e7-8d3f-201a74a19b54.rna_seq.genomic.gdc_realn.bam,1e5ae659-b3d2-4070-890a-4eee33c3dcbf,Other,N/A
0569acd2-7934-47e7-8d3f-201a74a19b54.rna_seq.genomic.gdc_realn.bam,2b9c9c11-5f2d-40a9-b38c-95bad06495f4,Poly-T Enrichment,
bf2017da-0eda-49f3-9f83-3f0f9b70bc5c.rna_seq.genomic.gdc_realn.bam,195d42fd-b41f-4013-8255-3db0d9d8266a,Other,N/A
bf2017da-0eda-49f3-9f83-3f0f9b70bc5c.rna_seq.genomic.gdc_realn.bam,5ddd8c81-39c3-4899-aca1-b81514e97a96,Poly-T Enrichment,
bf2017da-0eda-49f3-9f83-3f0f9b70bc5c.rna_seq.genomic.gdc_realn.bam,4309700f-f8f3-43b3-b42f-d899f56a4eb4,Other,N/A
7162ed97-8f56-41ee-849a-4ebcd8d0b775.rna_seq.genomic.gdc_realn.bam,2084c4f6-63bb-4785-9200-45d751308826,Other,N/A
7162ed97-8f56-41ee-849a-4ebcd8d0b775.rna_seq.genomic.gdc_realn.bam,310332b6-dcd5-4924-95ae-f4b595725f7d,Poly-T Enrichment,
e30c9831-f037-49b8-a8d9-e0c38063ab37.rna_seq.genomic.gdc_realn.bam,27e83be3-8a58-42eb-9cbd-3102587afd52,Poly-T Enrichment,
e30c9831-f037-49b8-a8d9-e0c38063ab37.rna_seq.genomic.gdc_realn.bam,7db0e5e7-c383-4d49-be59-fe3a6cfb4381,Other,N/A
84f435ab-f41c-4705-92c4-16f48694a09b.rna_seq.genomic.gdc_realn.bam,cc108921-b504-459c-b08f-0f51c296e3b5,Other,N/A
84f435ab-f41c-4705-92c4-16f48694a09b.rna_seq.genomic.gdc_realn.bam,4505d790-724c-4488-9ef1-682d9e8a0254,Poly-T Enrichment,
ab7d8a73-dcd6-4e6c-8cc5-10cb4e2e6039.rna_seq.genomic.gdc_realn.bam,5e318dbb-b01d-4689-8020-63e013efc73d,Other,N/A
ab7d8a73-dcd6-4e6c-8cc5-10cb4e2e6039.rna_seq.genomic.gdc_realn.bam,d20f3000-022d-4989-958e-fca5fbc93da2,Poly-T Enrichment,
